event_id,user_id,age_group,gender,device_type,os,content_type,content_genre,watch_duration_minutes,session_start_hour,ad_exposure_count,ad_skipped,subscription_type,network_type,buffering_events,rating_given,timestamp
1,1785,25-34,Female,Mobile,Android,News,Action,13.33,16,4,0,Ad-supported,4G,1,3,23-03-2025 01:39
2,1359,55+,Female,Laptop,Windows,News,Sports,11.84,9,2,0,Free,WiFi,0,3,24-06-2025 03:36
3,3214,45-54,Male,Mobile,iOS,News,Comedy,24.25,21,4,0,Free,4G,0,3,05-02-2025 23:36
4,17101,45-54,Female,Tablet,Windows,Movie,Comedy,31.93,8,1,0,Free,WiFi,1,4,15-03-2025 12:50
5,8184,45-54,Male,Laptop,Android,Kids,Drama,23.09,19,3,0,Ad-supported,4G,0,5,28-01-2025 09:59
6,9901,25-34,Other,Mobile,iOS,Kids,Thriller,26.85,20,2,1,Free,5G,1,4,24-03-2025 00:56
7,1894,18-24,Male,Laptop,Windows,Kids,Romance,26.64,8,2,0,Free,5G,0,1,31-01-2025 16:58
8,5517,25-34,Female,Tablet,Windows,Movie,Drama,26.7,7,1,0,Free,4G,1,4,04-01-2025 21:22
9,18775,18-24,Female,Laptop,Android,TV Show,Sports,11.6,21,1,0,Free,5G,0,3,27-02-2025 02:02
10,19387,55+,Female,Smart TV,macOS,News,Romance,21.02,21,3,0,Ad-supported,5G,0,4,09-03-2025 06:11
11,14398,18-24,Male,Mobile,macOS,Kids,Comedy,20.83,21,0,0,Free,Broadband,1,4,24-01-2025 17:28
12,503,45-54,Male,Laptop,macOS,Movie,Romance,47.2,20,1,0,Ad-supported,Broadband,0,3,22-06-2025 00:15
13,131,35-44,Female,Mobile,Windows,Kids,Sports,42.01,23,4,0,Free,WiFi,1,2,24-05-2025 10:13
14,5374,45-54,Female,Laptop,Android,TV Show,Documentary,69.79,18,1,0,Free,4G,0,2,26-01-2025 21:32
15,16620,35-44,Female,Tablet,Linux,TV Show,Action,25.69,18,0,0,Premium,Broadband,0,3,02-02-2025 16:04
16,18516,18-24,Female,Laptop,macOS,TV Show,Thriller,60.82,8,3,0,Ad-supported,5G,0,4,25-05-2025 08:43
17,4996,18-24,Male,Tablet,Linux,Live Sports,Documentary,42.51,19,3,0,Free,5G,1,4,04-05-2025 10:23
18,1450,45-54,Male,Mobile,macOS,Kids,Sports,0,7,4,1,Ad-supported,5G,0,1,16-01-2025 05:01
19,10411,18-24,Female,Tablet,Windows,News,Drama,36.99,20,1,0,Ad-supported,Broadband,0,4,18-04-2025 22:13
20,14610,55+,Female,Laptop,Linux,Kids,Thriller,1.82,7,4,0,Free,5G,2,4,20-03-2025 19:44
21,2455,35-44,Female,Laptop,Windows,Movie,Drama,13.83,1,1,1,Free,5G,0,2,24-02-2025 08:19
22,13315,35-44,Female,Laptop,macOS,Kids,Sports,0.54,9,1,0,Free,4G,1,4,05-02-2025 16:14
23,4898,45-54,Female,Mobile,iOS,Kids,Action,36.59,0,2,1,Free,4G,0,5,01-04-2025 19:33
24,14988,18-24,Female,Laptop,macOS,Kids,Comedy,47.58,20,3,1,Free,WiFi,0,4,26-06-2025 09:41
25,8854,18-24,Female,Tablet,Windows,Live Sports,Documentary,34.86,9,2,0,Free,Broadband,0,3,19-03-2025 00:32
26,9546,18-24,Female,Tablet,iOS,Live Sports,Sports,2.22,19,6,0,Ad-supported,5G,0,3,09-04-2025 20:17
27,834,18-24,Female,Laptop,Linux,Live Sports,Sports,61.12,6,2,0,Free,4G,0,5,03-01-2025 15:26
28,8992,25-34,Female,Mobile,Linux,Live Sports,Drama,7.21,21,5,0,Free,WiFi,0,3,30-01-2025 11:24
29,9594,18-24,Male,Smart TV,Android,Movie,Romance,5.47,7,2,0,Free,Broadband,1,3,30-03-2025 19:00
30,17623,45-54,Male,Mobile,macOS,Movie,Sports,2.08,19,0,0,Premium,5G,1,2,03-03-2025 07:21
31,5184,55+,Male,Laptop,Windows,News,Romance,36.28,6,7,1,Ad-supported,WiFi,0,5,26-06-2025 17:22
32,2145,25-34,Female,Mobile,Linux,News,Drama,8.21,9,3,0,Free,5G,2,1,27-06-2025 09:30
33,7380,35-44,Female,Mobile,macOS,Kids,Comedy,18.87,18,0,0,Ad-supported,Broadband,1,5,22-04-2025 22:35
34,12212,18-24,Female,Tablet,macOS,Live Sports,Comedy,27.77,8,0,0,Free,WiFi,1,3,09-06-2025 13:54
35,15505,18-24,Female,Set-top Box,iOS,TV Show,Drama,9.3,19,0,0,Free,4G,0,4,25-01-2025 04:28
36,17614,25-34,Female,Mobile,Windows,Live Sports,Documentary,33.53,7,4,0,Ad-supported,4G,1,4,13-06-2025 15:07
37,11700,25-34,Male,Set-top Box,iOS,News,Comedy,7.22,16,2,0,Premium,4G,1,2,12-04-2025 04:33
38,11443,25-34,Female,Laptop,Android,Kids,Romance,22.7,6,1,0,Free,4G,1,3,07-02-2025 06:20
39,585,25-34,Female,Mobile,Linux,Movie,Romance,31.58,7,1,0,Free,Broadband,0,2,11-02-2025 02:03
40,412,18-24,Male,Laptop,Android,Movie,Romance,9.8,21,2,1,Free,5G,0,3,02-06-2025 21:32
41,19365,Other,Male,Mobile,Linux,Live Sports,Documentary,46.86,13,0,0,Ad-supported,WiFi,0,4,27-02-2025 04:11
42,16904,45-54,Male,Smart TV,Windows,News,Comedy,3.23,8,0,0,Free,4G,1,5,02-04-2025 07:29
43,1822,35-44,Female,Laptop,Android,News,Sports,29.28,21,2,0,Free,Broadband,0,4,04-01-2025 06:28
44,15262,45-54,Other,Tablet,Windows,Movie,Documentary,63.6,8,0,0,Premium,Broadband,0,2,17-01-2025 22:24
45,13639,45-54,Female,Laptop,Windows,Live Sports,Drama,3.02,18,1,0,Premium,5G,2,4,14-05-2025 12:11
46,9116,55+,Male,Mobile,macOS,News,Romance,15.75,18,3,0,Ad-supported,4G,0,3,15-03-2025 15:28
47,474,18-24,Male,Mobile,macOS,Kids,Drama,0.74,9,0,0,Free,WiFi,2,3,26-03-2025 07:33
48,2709,45-54,Female,Smart TV,macOS,Kids,Action,9.38,4,0,0,Premium,5G,1,3,24-02-2025 19:17
49,9087,45-54,Female,Mobile,Linux,News,Sports,23.24,18,2,0,Ad-supported,5G,0,3,07-02-2025 05:26
50,3705,45-54,Female,Smart TV,Linux,Live Sports,Comedy,20.05,18,5,0,Ad-supported,4G,1,2,19-06-2025 04:51
51,7452,18-24,Male,Laptop,Android,News,Drama,58.69,12,2,1,Free,WiFi,0,3,14-03-2025 01:56
52,11183,25-34,Female,Mobile,iOS,TV Show,Drama,33.82,0,2,0,Free,4G,0,3,26-04-2025 00:31
53,3064,25-34,Female,Tablet,iOS,TV Show,Documentary,7.66,21,1,0,Free,5G,2,3,01-02-2025 21:39
54,7224,25-34,Female,Tablet,Windows,TV Show,Documentary,0.65,21,2,0,Free,Broadband,1,,27-04-2025 11:20
55,17747,18-24,Female,Smart TV,Linux,Live Sports,Comedy,1.09,19,2,1,Free,5G,1,3,21-02-2025 00:48
56,14360,25-34,Female,Laptop,Linux,Movie,Thriller,73.58,23,4,1,Ad-supported,5G,3,3,03-06-2025 17:11
57,12524,18-24,Female,Laptop,Linux,Live Sports,Sports,17.36,19,0,0,Free,WiFi,2,2,04-06-2025 21:38
58,2307,Other,Male,Laptop,Windows,TV Show,Action,25.22,19,0,0,Premium,5G,1,2,25-01-2025 20:09
59,3115,35-44,Female,Mobile,iOS,Movie,Action,18.45,10,0,0,Premium,WiFi,0,4,12-05-2025 00:15
60,15262,45-54,Female,Mobile,Windows,News,Drama,81.17,7,2,0,Ad-supported,4G,0,,10-06-2025 17:51
61,1737,45-54,Male,Mobile,macOS,TV Show,Sports,8.54,7,0,0,Free,WiFi,1,3,08-04-2025 00:13
62,10776,25-34,Male,Laptop,Linux,Kids,Comedy,15.08,16,2,0,Free,WiFi,0,5,01-02-2025 13:30
63,19114,18-24,Male,Mobile,Linux,Movie,Sports,25.28,21,0,0,Free,Broadband,0,3,08-05-2025 21:28
64,5172,45-54,Female,Tablet,Linux,Movie,Romance,23.9,21,3,1,Ad-supported,WiFi,0,1,12-01-2025 21:28
65,6801,35-44,Male,Mobile,Linux,Movie,Comedy,71.56,6,1,0,Free,WiFi,0,2,25-01-2025 05:52
66,16022,55+,Male,Laptop,Android,TV Show,Sports,58.65,21,1,0,Free,WiFi,1,2,28-05-2025 13:32
67,16027,25-34,Female,Smart TV,Linux,Kids,Documentary,3.25,21,4,0,Ad-supported,5G,1,3,04-02-2025 18:40
